,Text
929,Máy chạy of mới nên nhiều cái nó khác hẳn nên bg vẫn phải lần mò. Nếu máy hỗ trợ tiếng việt thì ng dùng thuận tiện hơn.
930,"Máy lúc đầu mới bật lên khá nóng( không biết do sao nữa), sài khoảng 2h là hết sạch pin, gần đây sài lâu hết hơn, thỉng thoảng lại bị lỗi về con chuột mà đi bảo hành nhân viên cửa hàng cứ sao sao, nói chung tệ"
934,hàng dùng oke
935,"Sản phẩm dùng mượt mà , thiết kế đẹp, nhân viên phục vụ tốt,chu đáo"
936,"Dạ em chào chị. Cảm ơn chị đã sử dụng dịch vụ, bên em luôn lắng nghe những ý kiến của khách hàng để hoàn thiện sản phẩm tốt nhất. Chúc chị có những trải nghiệm tốt nhất tại TGDD nhé"
950,"Máy dùng rất nhanh mượt, mỏng nhẹ, nhìn rất đẹp. Cấu hình cao dùng ngon luôn. Nhân viên nhiệt tình, niềm nở. Có nhu cầu sẽ quay lại thế giới di động mua hàng tiếp. Rất ưng dịch vụ chăm sóc KH ở đây"
951,"Máy chạy ổn, các tác vụ văn phòng thông thường đều xử lí rất mượt mà, thiết kế đẹp và sang không chê được, có đèn bàn phím phù hợp cho nhu cầu làm khuya của mình. Chỉ có điều máy hay bị mất kết nối với mạng nên nhiều lúc cũng hơi khó chịu."
952,"Máy cấu hình trong tầm giá quá ngon r. có điều ko hài lòng ở phần thân máy, tuy nói là tiêu chuẩn quân đội gì đó nhưng khi cầm, hoặc nắn không chắc bằng con macbook của bà vợ. thân máy một số chỗ đã sước sơn nhỏ li ti."
953,Máy chạy ok.
955,"Vào Bios, tắt chế độ tự khởi động là xong!"
956,Nhanh nóng máy ko ạ
958,"Chào chị, dạ chị cho em biết lỗi cụ thể để em hỗ trợ chị khắc phục ạ, em cảm ơn ạ"
959,Chíp H chạy rất nhanh bàn phím độ nảy tốt máy này dùng văn phòng thiết kế đồ họa các bạn nên mua
960,"Sao máy của mình màn hình nhiều lúc tối tối dù đã để sáng hết cỡ, nhiều khi nhìn chữ còn nhòe. Hay tại mắt mình? Ngoài ra máy siêu mỏng, nhanh, gọn, nhẹ."
961,Máy nóng thì ngậm nước cho ngụi
962,"Thời gian sử dụng tối đa khi pin đầy khá ít , sạc cũng hơi chậm"
963,"Máy đẹp, chạy mượt, thiết kế hiện đại"
964,"Máy bị lỗi phần mềm , thường xuyên gặp trục trặc , còn mình thì lại rất cần để học nên việc đi sửa chửa rất tốn công và làm mình bị trễ nhiều dự án , nhma các chức năng khác thì vẫn ok"
965,"Máy đẹp, cấu hình tốt, mượt mà, mỏng nhẹ. Phản hồi rất nhanh. Chỉ có điều là chip mạng có vẻ hơi yếu, nếu wifi hơi yếu là máy mất kết nối trước các thiết bị khác."
966,@Huyen Có lẽ do chip mạng. Máy cách modem wifi chưa tới 3m mà mạng rớt hoài.
968,Sử dụng tốt máy chạy nhanh
969,"Bạn nói sao ấy chứ. Tôi cài Kaspersky vào là Windows Defender tự động dừng, đã vậy còn nhắc cập nhật cơ sở dữ liệu cho Kaspersky."
971,"Máy gọn, nhẹ, cấu hình tốt"
972,máy này pin có trâu ko á sử dụng tầm 6 tiếng trở lên ko vậy bạn
974,Máy rất tệ. Mua máy giữa tháng 3 sử dụng 1h thì bị lỗi cam đã được đổi 1 máy mới. Sử dụng đến nay lại bị lỗi jack cắm tai nghe . Phải chờ 15 ngày đem lên hãng bảo hành
976,"Hiện tại mình thấy máy dùng tốt, chỉ có điều mình cài thêm phần mềm diệt vi rút, nó xung đột với phần mềm diệt vi rút của Windows hay sao ý.lúc mua nhân viên ko tư vấn."
977,"Máy đẹp, cấu hình tốt. Có điều bàn phím thấy k bền cho lắm."
978,Máy tính dùng bị lỗi nhiều
981,Này do máy bật tính tăng Eco. Bạn tắt đi là hết
982,"E vừa mua máy dùng được 1ngày, chỉ dùng soạn bài. Nhưng máy nóng rất nhanh. K nghe thấy tiếng quạt máy. Có thể giải thích cho e nguyên nhân máy bị nóng k ạ."
983,ôi trời mình cũng bị vậy mang ra thế giới di động mấy ông ngồi mò cả tiếng chả ăn thua phải mang về tận trung tâm Dell sửa mà được 1 thời gian sau lại không cắm tai nghe được
984,dòng vostro hay bi thế bạn ạ. mình dùng vostro 5470 từ 2014 mới mua về đã k vào đc wifi. sắp 10 năm rồi vẫn chưa thấy cải tiến phần ý
985,Sản phẩm ok lắm ạ
986,"Mới mua đc nửa tháng nên cũng chưa thấy có vấn đề gì, máy ổn, mượt, dùng cũng ko nóng quá, trong mức chấp nhận đc"
987,"1. Mua tại cửa hàng mới vài hôm đã lỗi touch pad, nhấn phím tắt máy rồi máy lại tự bật lên. Khởi động lại máy vẫn lỗi."
988,"Máy tính tốt, tuy nhiên mình thắc mắc mặc dù mình tắt máy rồi mà khi mở máy lên thì máy tự bật, bàn phím tự sáng , pin ổn và cấu hình ổn"
989,Chip H là chip hiệu năng cao thì nóng là phải rùi bạn :D
990,"Các bạn nhân viên rất ngoan, nhiệt tình , lễ phép và kỹ thuật cũng rất cao"
991,"Dell vostro 5410 i5 11320H  đáp ứng tốt trong học tập & giải trí . Mọi người nên mua ( máy chạy mạnh , khởi động nhanh , nói chung là OK )"
992,"Máy đẹp, tốt"
993,Chắc là do phâng mềm ik
995,Mở máy hơi lâu chạy thỉnh thoảng lag
996,"Nhân viên phục vụ rất tốt. Rất nhiệt tình, lịch sự."
1004,Máy dùng rất tốt khoẻ
1005,"Dạ em chào chị, mình cần hỗ trợ chi tiết gì về sản phẩm nào ạ, để em hỗ trợ cho chị. Mong nhận phản hồi của chị"
1007,"Sản phẩm ổn,giá thành hợp lí."
1009,"Máy vừa dùng thấy khởi động kha nhanh, pin sạc dùng cũng được lâu. Thấy ok"
1010,10 điểm suất sắc
1011,"máy tạm ổn 
điểm trừ là bàn phím không có đèn ,pin k được lâu ,quạt tản nhiệt khá ổn"
1012,"Tôi đã mua một chiếc laptop của hãng hp,tôi đã được nhân viên tư vấn rất nhiệt tình và sản phẩm hợp với nhu cầu sử dụng của tôi.nhân viên rất thân thiện.
Tuy nhiên laptop của tôi khi mở máy ra dùng chưa được 5 phút mà máy trở lên nóng.không biết lapyop của tôi có vấn đề gì không."
1013,"Sản phẩm ok, nhưng xem hình ảnh hơi nhòe, không nét mấy. Đang xem thử như thế nào"
1014,Mình mua máy mới 30/4 máy bị lỗi nút nguồn đi sửa 2 -3 lần liền vẫn vậy.cuối cùng người thiệt là khác phải mua máy mới và trả máy cũ
1018,Máy tính dùng tốt
1019,tôi rất hài lòng về sự đón tiếp và giới thiệu sản phẩm nhiệt tình của nhân viên
1020,"Máy dùng tốt, khá mượt"
1021,Không có j phải bàn quá ok
1023,Dùng khá ok so với tầm giá
1024,Rất Hài lòng vì nhân viên phục vụ
1026,Lap dùng oke. Nhân viên phục vụ tệ ạ
1027,Pin hết nhanh quá
1035,"Cấu hình ok mạnh, mỗi cái loa nhỏ quá, người chơi hệ lãng tai nên xem xét trước khi mua"
1040,Máy tốt chạy nhanh nhưng sài nhanh  hết pin
1041,"chạy ổn , siêu mượt"
1042,Máy mượt và load rất nhanh
1043,"Sd ok, chạy nhanh"
1044,Đang sd. Hiện chưa thấy lỗi gì
1046,"- Pin hơi yếu, được cái bắt sóng wifi tốt.
- Cho em hỏi máy này có nâng cell pin được không ạ ?"
1050,"Sản  phẩm  tốt,  nhân  viên  nhiệt  tình  thân  thiện"
1051,cho em hỏi máy em mới mua được 1 tuần khi sạc pin thì tự động ngắt nguồn k vô pin. mong các anh /chị hỗ trợ
1054,"Máy dùng mượt, lướt web lm việc văn phòng với mình là ok, nhân viên tư vấn nhiệt tình"
1056,"Máy chạy mượt, êm.Giá cũng rất ổn. Nhân viên thế giới di động tư vấn rất nhiệt tình."
1058,Dùng ổn mà pin kém với màn hình xấu
1060,Tôi thấy bình thường
1062,"Máy rất đẹp 
Dùng tốt"
1070,Máy bị lỗi.
1072,Dùng tính năng cơ bản ok. Tuy nhiên thân vỏ máy ko được cứng cáp như kì vọng.
1077,"Máy chạy ổn, mới dùng chưa lâu chưa biết thế nào, nhưng tình hình là đang dùng rất ok 👌👌"
1079,"Cửa hàng 
Các bạn chăm  síc khách hàng dất tốt"
1080,"Máy dùng tốt, đáp ứng tốt nhu cầu sử dụng"
1082,"Hài lòng về sản phẩm và chất lượng dịch vụ, nhân viên nhiệt tình"
1083,"Mỏng, nhẹ, phù hợp với các công việc văn phòng"
1084,Sài cũng êm tay...
1085,Hàng tốt rất hài lòng
1086,"Dạ chào anh,cảm ơn anh đã tin dùng sản phẩm của bên em.Rất mong được phục vụ anh ở những lần sau ạ."
1090,Hiện  máy hoạt động tốt. Cảm ứng vân tay nhạy.
1091,Cũng tạm đc .dán màn hình chưa đc đẹp lắm
1098,Dùng để làm PowerPoint word excel thì ổn chơi game thì lên mua máy cấu hình tốt hơn
1099,Chào anh.Dạ anh đang cần bên em hỗ trợ về vấn đề gì không ạ. Mong sớm nhận được phản hồi từ anh. 
1101,Chào chị. Dạ cảm ơn chị đã góp ý. Thông tin đến chị.
1102,Mây dùng rất tốt
1104,"Sp tốt Người bán nhiệt tình, cài đặt đúng theo yêu cầu của khách, vui vẽ Giúp đỡ và tư vấn tận tâm , cảm giác dùng sp của tggd chuẩn"
1105,"Hàng tốt chất lượng , nhân viên phục vụ nhiệt tình"
1106,E bị quên mật khẩu phải làm sao ạ
1107,MỚI MUA 5 NGÀY MÀ CHUỘT BỈ HỎNG CÓ BẢO HÀNH ĐƯỢC KHÔNG SHOP
1108,Đang dùng chưa biết tốt không
1109,"Máy chạy mượt, nhỏ gọn, phù hợp với nhu cầu công việc"
1111,máy em mới mua được một tháng mà sao office ko chạy được vậy ạ ko đánh được văn bản.
1112,Hiện tại máy dùng tốt
1114,"Máy chậm, viết tin nhắn mess  bị lỗi có nhắn hỏi cskh trên zalo mà k ai rep"
1117,Quạt của máy hơi ồn
1119,Máy tính rất ổn
1120,"Thật sự rất chán luôn ạ. Máy mới mở lên đã thấy kêu rò rò rồi. Nhiều lúc muốn tắt máy luôn.  Đã mua đc tầm 4 tháng rồi ạ.
Có lần có bị lag luôn."
1121,Em mua đời máy giống anh nhưng dung lượng 512g mà đọc đánh giá toàn 1 sao hoang mamg quá con 13.390.000vnd
1122,"Máy, quạt liên tục và rất nóng, cam khá tệ
Đặt biệt muốn hỏi shop sao pin còn 8% là cứ sập  
Sau dùng 1 tháng là máy lag kinh khủng"
1124,"bàn phím ổn nên mua Lenovo, loại này bàn phím chất nhát"
1126,"Mỏng nhẹ, tác vụ nhanh chóng, dung lượng 256G khá đủ xài trong lưu trữ tài liệu,"
1127,"Bàn phím số bất tiện, khó sử dụng"
1128,bn cho mình hoi máy này bn có mua có được cài tiếng việt k ạ
1130,Sản phẩm tốt ạ
1131,"Excel, word hay bị lỗi"
1132,"Bản lề yếu, thân máy bằng nhựa nên rất ọp ẹp, bàn phím không dám gõ vì nhìn quá dởm, thực sự khi mua không nghĩ nó sẽ như thế này. Về cấu hình thì dùng văn phòng tạm ổn."
1133,"Máy mỏng nên nếu xài các tác vụ đồ hoạ, xem phim.. sẽ nhanh nóng máy nên quạt sẽ kêu. Mình mua để làm việc, ngồi làm cả ngày và có xài đế tản nhiệt nên máy ko bị quá nóng và kêu. Nói chung là máy rất Ok nhe mọi người, mỏng đẹp và có hỗ trợ vân tay nữa."
1134,bạn cho mình hỏi máy bạn mới mua có cài được tiếng việt k ạ
1135,em phai active office nhé
1136,Em này nâng cấp lên 8GB RAM nữa là siêu mượt luôn bác ơi. Xài mình để trên bàn chổ thoáng á thì quạt tản nhiệt tốt là không nóng.
1137,Khởi đông chậm hay bị lỗi
1138,may nay dc cai man hinh dep. minh mua tren laxada gia 10tr. chu 12 tr thi nen lua may khac nhee
1139,Cho em hỏi em ở Bắc Ninh thì mua sản phẩm ở đâu là gần nhất ạ
1140,Mua cho trẻ nhỏ ở nhà hình thức so với giá khá ổn
1141,Sản phẩm tốt trong tầm giá.
1142,"Em này nâng cấp lên 8GB hay 16GB là mượt mà nha bác. Mấy máy Windows này dùng thì quạt chạy để tản nhiệt rồi, máy nào cũng vậy hết á."
1143,"máy e nghe lè rè lốp đốp suốt, khởi động chỉ được 1 lúc đấy thoi sau lại bị lè rè lốp rốp ạ, không thể lúc nào cũng khởi động máy được. và em học onl nên lúc nào cũng cần loa ạ, không biết có cách nào khắc phục nhanh nhất không ạ,hay phải gửi bảo hành"
1144,"mình mua được 15 ngày, không hiểu sao mấy ngày nay loa cứ rè rè k khắc phục được"
1145,"Tốt nhưng may mau nóng sài cở chưa dc 5p là quạt bật r   chủ yếu sài các office 
Còn nhân viên thì phục vụ nhiệt tình"
1146,Dùng để học tập văn phòng ổn không ạ
1147,Mua máy này có kèm office 365 không vậy và thời hạn kích hoạt trong bao lâu.....
1148,"mình mua dòng máy này đến thời điểm đánh là tròn 1 tháng mình thấy đúng 80% như mọi người đã nói ở trên, nhanh nóng , quạt sẽ kêu to , pin tạm ổn, mình mua với mục đĩch là văn phòng xem phim nghe đôi chút mà nên mình thì nó là vừa đủ ."
1149,"k mỏng nhưng nhẹ, vỏ nhựa sờ khá chán. tab web 4 tab là sẽ có tình trạng reload. Pin 2-4 tùy tác vụ. Máy nhanh nóng, quạt gió mà n chạy thì tiếng khá to, nóng cả tay đang gõ phím. Con này yếu nên chỉ tác vụ văn phòng với giải trí nhẹ nhàng thôi. Cam hơi chán, gọi là đủ dùng.  Loa ổn nhưng thỉnh thoảng đang dùng bị dè một tiếng rất khó chịu, đấy thiêng lắm đang gõ thì nó rè cái, thấy bảo nhiều máy đều bị vậy nên không khen được. Nói chung với tầm giá rẻ này, b nào muốn có một chiếc máy mới, màn ok, xem phim giải trí bth thì mua, nếu không nên lựa chọn máy khác có thể là máy đã qua sd nhưng option ổn hơn. Nếu có nút hơi tệ chắc mình sẽ ấn nma mình mua vội không chọn kĩ càng nên cũng là cái duyên. Bạn nhân viên nhiệt tình là điểm cộng duy nhất."
1157,"chào anh, dạ cảm ơn anh đã quan tâm sản phẩm bên em ạ "
1158,Mới mua máy dùng ok mà không biết bên TGDD có hỗ trợ nâng ram không?
1160,"Máy rất chi là dễ nóng và mau hết pin, không như đánh giá của nhân viên"
1162,"Ổn 
Nhưng có lúc đang dùng thì mất wiffi"
1168,"Sử dụng được 1 thời gian thì bị mất kết nối mạng 
Đem đi bảo hành được 2 lần rồi nhưng mà vẫn bị 
Quá tệ, nên cân nhắc kĩ trước khi mua"
1175,"Rất mượt hợp với giá tiền 
Nên mua"
1176,Chào anh. Dạ cảm ơn anh đã tin tưởng sử dụng và góp ý sản phẩm ạ. Rất mong được tiếp tục phục vụ mình lần sau ạ. 
1178,"Sản phẩm rất tốt ,nhân viên tưu vấn rất tận tâm"
1180,Máy nhanh hết pin 🔋
1181,"em mua hàng ở tđđ cơ sở 50 - 52 Đường Hai Bà Trưng, Phường 01, TP. Sóc Trăng có anh nhân viên Tuấn Anh tư vấn rất nhiệt tình và hỗ trợ e hết mình ạ. Em rất hài lòng về dịch vụ bên đó ạ"
1183,Dạ chúc anh chị có nhiều trải nghiệm tốt với sản phẩm và sẽ luôn ủng hộ TGDD/ĐMX nhé.
1184,Pin nhanh hết
1185,"Sản phẩm tốt, mượt"
1187,"Máy dùng sau tuần đầu tốt, khoẻ, không thấy lỗi"
1192,Sản phẩm quá tuyệt vời
1199,"Máy chạy nhanh, hiển thị sắc nét, rất đáng dùng"
1204,"Laptop sài tốt, không có gì để chê, nhưng khi không cắm sạc thì có hiện tượng delay nhẹ, nên cắm sạc để sài hết hiệu suất của máy."
1222,"Máy mượt mà, rất hài lòng. Chờ trải nghiệm thêm thời gian nữa mới đánh giá được độ bền của máy"
1223,"Máy Laptop này là 1 máy cấu hình khoẻ , giá tốt rất thích hợp cho hssv"
1224,"Tuyệt vời, cần nâng niu"
1225,Mình rất hài lòng với cách phục vụ của hệ thống ạ. Xin cảm ơn và chúc he thống ngày càng phát triển
1227,"Giá thành hơi cao, máy hơi nóng"
1236,Chào anh. Dạ cảm ơn anh đã góp ý. Thông tin đến anh.
1237,Khá mượt và trơn tru
1238,Rất thích sự phục vụ của bạn nhân viên
1239,"Thiết kế tốt, tối giản, khá tinh tế, hợp với nguồi đi làm. 
Màn hình độ sáng vừa đủ không thích hợp sử dụng ở nơi quá sáng. Khả năng tản nhiệt rất tốt, êm, nhiều chế độ, có thể tinh chỉnh chi tiết bằng tay. Loa dù có dolby atmos nhưng chỉ thích hợp nghe nhạc có lời, khi nghe nhạc từ nhạc cụ vd piano và violin âm thanh rè khi mở trên 50, còn khi chơi game tiếng quạt sẽ át tiếng game nên đối với những tựa game cần nhiều âm thanh thì tai nghe là cần thiết."
1240,"Máy nhanh, mượt, nên mua."
1242,máy bị lỗi win xin admin xem xét lại và khắc phục lỗi
1243,"Máy thì được nhưng tặng cho con chuột dởm vcl
Mang tiếng chuột gaming 300k mà giật giật đơ đơ k bằng con chuột bluetooth 200k của t"
1246,Sản phẩm tốt ạ .... Mặc dù còn 1 vài lỗi nhỏ.
1248,máy dùng rất tốt ạ
1249,update : sau gần tháng sữ dụng thì súc bàn phím
1251,Sao lúc mua bên tư vấn nói là pin xài tác vụ bình thường  không cắm sạc tầm 5 6 tiếng còn chơi game tầm 4 tiếng. Mà khi sử dụng thì tác vụ bình thường tầm 2 tiếng là hết pin vậy
1255,Sản phẩm đáng mua
1256,"Máy đẹp , nhân viên hổ trợ tốt , máy này chơi game quạt quay ồn , và nóng - hiệu năng lại rất tốt , laptop chơi game thì máy nào cũng nóng. Nên nói chung là tốt ."
1258,"Sản phẩm rất tốt, hiện chưa xảy ra lỗi lầm"
1260,"Máy mượt, dùng êm, hệ thống máy và chương trình bảo hành tốt"
1261,Nhân viên nhiệt tình lắm
1262,"Máy dùng tốt nhiệt độ trên các tựa game nặng như GTA5 và Genshin ở các mức setting cao nhất khá cao nhưng fps vẫn ổn định và không có hiện tượng drop, phần loa nghe tạm ổn, màn 144hz nên mọi trải nghiệm như chơi game và các tác vụ hằng ngày đều rất mượt, so với các laptop gaming khác thì con này mỏng và gọn hơn nhiều, led cũng chỉ có đơn sắc nên thể hiện được sự tối giản của máy, trải nghiệm máy sau một thời gian mình thấy rất hài lòng"
1269,"Dùng rất thích , nhân viên nhiệt tình😘"
1280,Máy sử dụng rất ok
1281,lỗi win 11 đó ông. lúc mới mua tui cũng bị
1283,"1 vài điều chia sẻ sau khi sử dụng thiết bị :
- Laptop chạy xử lí việc nặng chế độ CPU cao .Tay sờ len bàn phím cảm nhận nóng ran 😃yêu cầu phải mua thêm quạt tản nhiệt .
- Thời lượng pin của thiết bị khi không dùng sạc với tác vụ thông thường xem web, hay word .. tầm 4 tiếng , không khả quan cho lắm .
- Cân nhắc nhu cầu sử dụng vì Ram 8GB sẽ không đủ . Mình dùng đang thấy thiếu .
- Bàn phím laptop thiết kế phím điều hướng bé 😂 dùng khá khó chịu ."
1284,Con này giờ muốn up thêm 8gb ram nữa thì giá tầm bao nhiêu ạ
1285,"Sản phẩm rất tốt, nhân viên tư vấn rất nhiệt tình"
1286,Bị lỗi bên phần đăng nhập wi-fi
1287,Pin yếu quá
1288,ngắt wiffi thì ko nói đằng này mất luôn wiffi.
1290,"Vừa mua tối qua 31/8 về mình có gặp trình trạng wifi lúc kết nối được lúc không, trong khi điện thoại vẫn sử dụng wifi bình thường"
1291,"Máy mượt, màn hình ok. Có chăng xài 11 chưa quen lắm thôi. Vote 5 sao cho sản phẩm và điện máy ạ!"
1292,"đang dùng ngon lành thì bay màu phần wiffi, mình chả hiểu nổi. mấy lần trước sẽ hiện lại sau khi khởi động lại, còn lần này thì không. mình cần hỗ trợ"
1295,Máy sài tốt nhưng mà sao không giao nguyên thùng máy mà là giao luôn hàng trưng bày vậy....có vẻ không hài lòng cho lắm... Không biết là có phải máy mới 100% không?!?!??
1298,Máy dùng đã ổn định
1299,"Bạn đầu còn khá nhìu lỗi, phải khắc phục từ từ đến hiện tại thì tạm ổn"
1303,"mình đã dùng được 2tháng, máy rất ngon và ổn"
1304,"Máy sao cứ mất wifi mỗi khi khởi động ấy, có khi còn mất lun chỗ kết nối wifi"
1306,Hiện tại sau 2 tuần dùng vẫn đang khá ngon
1307,"Khá nóng mùa đông mang sưởi ấm cũng được nữa, mang về khoảng 15 ngày thì vẫn thấy bình thường sau khoảng nửa tháng tiếp theo k dùng hôm nay lấy ra thì hở sáng khắp màn rồi, còn lại thì ok"
1308,Nói chung ổn
1309,Bị lỗi mã pin không khả dụng hơn 2 tiếng rồi
1310,Hình ảnh sắc nét
1311,Mới dùng đc một tuần. Máy ổn. Chỉ là tự cập nhật win sau khi có wifi . Thì mqy lúc đầu ko vô wifi đc khi khởi động lại do vừa cập nhật win. Mình đã tự cập nhật lại một chút. Ns chung máy dùng ổn. Nếu có lỗi j cập nhật lại sau
1312,"Kiểu dáng: gọn, nhẹ, phù hợp cho những người thích sự tối giản, năng động.
Nhược điểm: sử dụng Mediatek wireless card, tốc độ Wifi ổn nhưng Bluetooth sẽ bị chậm khi sử dụng với Soundbar.
Không có tuỳ chọn nâng cấp Ram, SSD.
Khu vực phía trên bàn phím có hiện tượng nóng khi hoạt động lâu."
1329,"Do máy ở chế độ sleep và sử dụng lại là bị, restart thì hết. Cái lổi này không biết do đâu."
1332,"Mình mua được 2 ngày nhưng mình sử dụng nhiều giờ liền vẫn hiển thị 99% sau đó máy tính tắt rồi mình cắm điện mới hiện thii còn 4%, mình sử dụng cứ 99% ko biết khi nào pin giảm"
1333,"Mới dùng nhưng thấy mọi thứ khá ổn ngoại trừ pin rất tệ ,mới sạc đầy nhưng pin xuống rất nhanh ngày sạc 2 3 lần mặc dù chỉ dùng trong thời gian ngắn ."
1334,Nhân viên shop bảo nếu cần hỏi gì thì nhắn tin đến lúc hỏi thì k cả trả lời tin nhắn
1335,"Mới mua được 3 hôm thôi sau mà dùng 3-4 tiếng là cạn pin luôn rồi, có cách nào khắc phục không vậy ???"
1336,Tạm thời thấy sp dùng tốt
1337,"Sp chạy ok, pin hơi tệ xài nhanh hết"
1338,sao máy mình không gõ được word và excel vậy ạ
1339,Máy màn hình sắc nét
1340,"Máy nhẹ, mẫu mã đẹp, chạy nhanh , tôi rất hài lòng"
1341,Sản phẩm rất tốt và nhân viên siêu siêu nhiệt tình
1343,Sản phẩm có vẻ nhanh hết pin k dg vẫn bị sụt thời lượng PIN k quá dài
1344,máy mình mới mua hôm trước hôm sau mở 1 số file exl  mà cứ dùng 1 lúc đã xoay xoay nhạc đang mở cũng dừng lại 1 luk sau đó lại nghe bình thường là sao ạ
1345,Sản phẩm oki
1346,"Mua được 1 tuần do đi làm nên cũng ít sử dụng thấy máy pin quá kém. Sử dụng tác vụ bình thường 2 tiếng từ 100% còn được 40% pin.tắt máy để qua đêm không sử dụng cũng mất 3  đến 4% pin. 
Mọi thứ điều tốt trừ pin khá yếu"
1347,"Cấu hình máy tốt, sữ dụng một thời gian chưa thấy máy bị lỗi gì. Đánh giá máy rất OK!"
1348,Dùng một nửa tháng có vẻ hơi lag
1351,Mọi thứ ok ngoại trừ pin tuột nhanh nha
1353,sảm phẩm tuyệt vời nhân viên vui vẻ thân thiệt tư vấn nhiệt tình
1354,"Máy mình sạc đầy 100%, lúc khởi động máy lên tầm 3 phút pin tuột còn 93% trong khi mình chưa thực hiện thao tác gì"
1355,"Máy chạy mượt, giúp công việc và thao tác của tôi được nhanh chóng."
1356,rất yên tâm và hài lòng
1358,Máy dùng tốt mượt nhma thỉnh thoảng vẫn lag chạy chậm!
1362,Chào chị .  Dạ không biết chị đang quan tâm sản phẩm nào cho em xin tên cụ thể để em tư vấn cho mình nhé ạ 
1376,laptop mới mua mà hết hạn đăng kí
1378,"Máy xài cũng ok, cho con xài nên cũng rõ thế nào, thấy gọn nhẹ và con ko kêu gì."
1380,"Máy tính sử dụng tốt, đạt nhu cầu, cảm ơn"
1381,Đổi máy tuy không mất phí.. Mà máy còn tệ hơn. Không vào trang được luôn
1382,Vừa mua về đã hỏng
1383,"Máy sạc không vào, mới mua hôm qua luôn trời"
1385,rất ok nhưng pin hơi yếu
1387,"Mình thấy máy dùng khá tốt, chỉ tiếc là không có khe cắm thẻ nhớ SSD của máy ảnh và có thêm 01 cổng USB thì tốt hơn."
1388,Lỗi liên tục trong khi đã đổi máy khác... rất phiền
1390,"Dạ em chào chị. Cảm ơn chị đã góp ý ạ, bên em luôn lắng nghe những ý kiến của khách hàng để hoàn thiện sản phẩm tốt nhất. Chúc chị có những trải nghiệm tốt nhất tại TGDD nhé!"
1392,Sản phẩm tuyệt vời quá
1393,"Sản phẩm mới mua về dùng hết pin thì sạc không vào, mở nguồn lên thì sạc vào cực chậm."
1394,Sử dụng vài ngày lại phải update
1395,Ngày thứ 2 sau khi mua sản phẩm thì laptop bị hư sạc pin k vô. Khi đổi sản phẩm thứ 2 lại bị lỗi win. Bộ phận có chuyên môn để khắc phục lỗi laptop k dc nhìu. Nếu có mua latop mình k quay lại tgdđ mua
1397,"Máy hình dáng đẹp , chạy nhanh, nhưng pin sạc lâu vào Máy chạy khổ động ù to"
1398,"Quá tệ. Mới mua về đã lỗi sạc pin không vào mạy chạy ù ù đã đến và 1 đổi 1 nhưng máy vẫn lỗi y chang không vào pin như thế quá phiền phức, mất thời gian."
1400,Cskh rất tốt và nhiệt tình
1401,"Laptop mua dc khoảng 3 tuần thì màn hình nó hay chớp tắt , v có làm s ko ạ"
1402,Máy rất lag mới mua về chỉ đc 3 ngày nhưng khi làm word bấm form chữ thì hiện lâu số khó bấm
1403,cũng dùng được
1404,Mình đang trải nghiệm. Kiểu dáng máy ok nhưng thấy máy đang có lỗi sạc pin. Có lúc chập chờn k vào điện
1420,"Touchpad hay bị đơ k bấm đc, phải dùng chuột ngoài, đã làm nhiều cách (update driver....restart máy.... cài đặt đủ cách nhưng chỉ đc mấy ngày lại bị đơ) xin cách xử lý ạ."
1421,Ok phù hợp giá thành
1422,Máy hay bị tắt nguồn tự khởi động lại có nhiều lúc như bị đơ màn hình bấm mãi mới được
1425,"Máy đẹp, màn hình nét , am thanh to rõ ràng. Mới mua máy này nhưng không cài đặt được ngôn ngữ tiếng việt là sao ạ ?"
1426,Cho mình hỏi là: mình mua máy này cách đây 3 ngày. Về không cài được tiếng viết nên mình lỡ cài xuống win 10 (trong khi đó máy đã cài sẵn win11). Vậy bây giờ máy mình có thể cài lại w11 như cũ được không nhỉ
1429,Hiện tại máy sử rụng bt chưa sảy ra lỗi hây hỏng hóc gì
1430,Phục vụ tốt hàng đẹp
1431,Đã đổi máy 1 lần nhưng tình trạng loi vẫn vậy nên nan quá
1432,"Touchpad hay bị đơ k bấm đc, phải dùng chuột ngoài, đã làm nhiều cách (update driver....restart máy.... cài đặt đủ cách nhưng chỉ đc mấy ngày lại bị đơ) xin cách xử lý ạ. E dùng dell insprion 3511"
1433,"Máy đẹp, xài ok, nhưng mà làm sao để không update mà tắt máy được ạ"
1435,"Sản phẩm tốt , nhân viên rất  chu đáo vs quá nhiệt tình"
1437,máy em mới mua cài sẵn win 11 nhưng bây giờ em lỡ cài lại win rồi. vậy giờ em có khôi phục lại win 11 không
1439,Máy tốt lắm nha
1440,Máy dùng qúa OK so với mức giá 12xx. Nhân viên tư vấn nhiệt tình vui vẻ (thái độ phục vụ của Quản lý và nhân viên TGDĐ  cực kỳ tốt mình rất hài lòng). Mình mua ở TGDĐ Phước Bửu đây là lần thứ N.
1444,"Laptop đẹp, mỏng, nhẹ, rất sang trọng, sài cũng êm ạ"
1447,Kỹ thuật hỗ trợ rất tốt. Chân thành cảm ơn
1452,"Máy chạy OK. Nhưng khi mở Office như word, excel, outlook  đều bị Lag không dùng được, cài nhiều bản khác nhau đều bị như vậy."
1453,Máy dùng thích
